Il,Ilce,Muhtarlik,Muhtar,Boylam,Enlem,Kaynak
Adana,Yüreğir,19 Mayıs,Kenan OSLUN,35.3646,36.9782,https://www.icisleri.gov.tr/
Adana,Yüreğir,Abdioğlu Cumhuriyet ,Adil ÇELEBİ,35.3453,36.984,https://www.icisleri.gov.tr/
Adana,Yüreğir,Ağzıbüyük,Ahmet ERSINADIM,35.44943,36.863547,https://www.icisleri.gov.tr/
Adana,Yüreğir,Akarcalı,Şükrü DİŞKAYA,,,https://www.icisleri.gov.tr/
Adana,Yüreğir,Akdam,Rifat GÖZGEÇ,35.443941,36.801733,https://www.icisleri.gov.tr/
Adana,Yüreğir,Akdeniz,Fırtına SIĞIRCI,35.3463,36.9628,https://www.icisleri.gov.tr/
Adana,Yüreğir,Akıncılar,Zekeriye SALTAN,35.355,37.0023,https://www.icisleri.gov.tr/
Adana,Yüreğir,Akpınar,Feti ÇETİN,35.6047,36.8156,https://www.icisleri.gov.tr/
Adana,Yüreğir,Alihocalı,Ahmet ORTATEPE,35.397374,36.933146,https://www.icisleri.gov.tr/
Adana,Yüreğir,Anadolu,Şahin KAYAS,35.3539,36.9809,https://www.icisleri.gov.tr/
Adana,Yüreğir,Atakent,Ramazan SUSAN,35.3711,36.9887,https://www.icisleri.gov.tr/
Adana,Yüreğir,Atatürk,Şehmus ÖZDEMİR,,,https://www.icisleri.gov.tr/
Adana,Yüreğir,Aydıncık,Cihangir CİHANGİROĞLU,35.298619,36.863076,https://www.icisleri.gov.tr/
Adana,Yüreğir,Bahçelievler,Mehmet ÖZDEN,35.3546,36.9634,https://www.icisleri.gov.tr/
Adana,Yüreğir,Başak,Abdulvehap DEMİR,35.364,36.9843,https://www.icisleri.gov.tr/
Adana,Yüreğir,BELÖREN,Hüseyin DİLBAZ,35.5571,36.8103,https://www.icisleri.gov.tr/
Adana,Yüreğir,Beyköy,Sait KARADAĞ,35.301431,36.732202,https://www.icisleri.gov.tr/
Adana,Yüreğir,Büyükkapılı,Mahmut ADSIZ,35.567154,36.872716,https://www.icisleri.gov.tr/
Adana,Yüreğir,Çağırkanlı,Şahin MUSLİHAN,,,https://www.icisleri.gov.tr/
Adana,Yüreğir,Camili,Hayri ALPASLAN,35.43573,36.929507,https://www.icisleri.gov.tr/
Adana,Yüreğir,Çamlıbel,Zeki ALAGÖZ,35.3842,37.0001,https://www.icisleri.gov.tr/
Adana,Yüreğir,ÇATALPINAR,Osman ŞAŞMAZ,35.5722,36.8255,https://www.icisleri.gov.tr/
Adana,Yüreğir,ÇELEMLİ,Hakkı ÇOLAK,,,https://www.icisleri.gov.tr/
Adana,Yüreğir,Çine,Mahmut GÖK,35.26017,36.798148,https://www.icisleri.gov.tr/
Adana,Yüreğir,Cırrık,Emin MEMİŞ,35.23278,36.741243,https://www.icisleri.gov.tr/
Adana,Yüreğir,Çotlu,Ziyat DOĞAN,35.4823,36.871166,https://www.icisleri.gov.tr/
Adana,Yüreğir,Cumhuriyet,Erdoğan ÖZRENÇBERLER,35.3453,36.984,https://www.icisleri.gov.tr/
Adana,Yüreğir,Dadaloğlu,Abdulvahap ALYAR,35.365,37.0037,https://www.icisleri.gov.tr/
Adana,Yüreğir,Danışment,Cappar SOYUBELLİ,35.446691,36.824391,https://www.icisleri.gov.tr/
Adana,Yüreğir,Dedekorkut,Ali POLAT,,,https://www.icisleri.gov.tr/
Adana,Yüreğir,Dedepınarı,Kerim KARLIDAĞ,35.479562,36.926293,https://www.icisleri.gov.tr/
Adana,Yüreğir,Denizkuyusu,Mehmet SAMIK,35.30135,36.843223,https://www.icisleri.gov.tr/
Adana,Yüreğir,Dervişler,Hacı DEMİRAY,35.3633,36.9979,https://www.icisleri.gov.tr/
Adana,Yüreğir,Doğankent Bahçelievler,Ferit ANLI,35.3546,36.9634,https://www.icisleri.gov.tr/
Adana,Yüreğir,Doğankent Cumhuriyet,Selahattin FIRAT,35.3335,36.801414,https://www.icisleri.gov.tr/
Adana,Yüreğir,Doğankent Kışla,Selahaddin YİĞİT,35.3341,37.0209,https://www.icisleri.gov.tr/
