İl,İlçe,Köy,Merkeze uzaklık (km),Birincil Öncelik,İkincil,Üçüncül,Telefon,Çocuk,Kadın,Yetişkin,Yaşlı,Hane,Yıkılan,Bilgi Alınan Vakit,Ek
Kahramanmaraş,Göksun,Yantepe,36.21,Diğer,,,5356620135.0,,,,,180.0,15.0,15/02/23 16:12,
Gaziantep,Nurdağı,Demirler,39.89,,,,5330346935.0,,,,,,,12/02/23 16:21,GUNCEL EKSIK: Elektrik yok
Gaziantep,Nurdağı,İncirli,43.79,,,,5356235605.0,,,,,,,12/02/23 16:08,GUNCEL EKSIK: YOK
Gaziantep,Nurdağı,Karaburçlu,61.03,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,5438030244.0,50.0,,50.0,100.0,,9.0,12/02/23 18:36,çok üzgündü anket tamamlanamadı
Gaziantep,Nurdağı,İncegedik,54.67,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,5308720054.0,,,,,,,11/02/23 19:15,"Kuru Gıda, Çadır (Yardım kamyonunda malzeme yok, ihtiyaçlar karşılanamadı.)"
Malatya,Akçadağ,Doğantepe,51.44,"Gıda (ekmek,su,paketli gıda)",,,,,,,,68.0,5.0,14/02/23 12:06,"GÜNCEL EKSİK: gıda, kuru gıda /////  evlerin hepsi hasarlı. gıda gerekli"
Gaziantep,Nurdağı,Hamidiye,45.17,"Barınma (Çadır, konteyner gibi)",,,5325687577.0,250.0,,1000.0,,135.0,0.0,11/02/23 20:36,50 ADET ÇADIR.
Gaziantep,Nurdağı,Gökçedere,60.58,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,5067511264.0,100.0,,150.0,450.0,210.0,30.0,11/02/23 20:20,"SÜREKLİ ÇOCUK KIYAFETİ GÖNDERMEYİN!!! edit:Çadır(20-25 adet), Soba, Odun, Kömür, Çocuklar için ateş düşürücü ilaç"
Gaziantep,Nurdağı,Bademli,59.07,"Barınma (Çadır, konteyner gibi)",,,5413792545.0,150.0,,350.0,,400.0,25.0,11/02/23 19:03,
Gaziantep,Nurdağı,Atmalı,45.18,"Barınma (Çadır, konteyner gibi)",,,5308276802.0,,,,,100.0,0.0,11/02/23 18:46,ÇADIR!!!
Gaziantep,Islahiye,Akınyolu,58.24,,,,5372992499.0,,,,,,,15/02/23 18:30,GÜNCEL EKSİK: ihtiyaç yok     //////     ACİL GIDA. Köyde bir yemek şirketi varmış ona temel malzemeler tedarik edilirse köye yemek yapacaklarmış.
Gaziantep,Nurdağı,Başpınar,42.79,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,5343154897.0,300.0,,,60.0,,10.0,12/02/23 13:00,"GUNCEL EKSIK: Çadır 20 tane////YOLLAR KISMEN AÇIK, KENDİ İMKANLARIYLA DÜZELTME YAPMIŞLAR. CENAZELERİ ÇOK."
Gaziantep,Islahiye,Telli,68.7,"Kıyafet(Ayakkabı, çorap, iç çam","Teknik yardım (Powerbank,el fen","Isınma (El sobası, battaniye)",5379223997.0,,,,,,7.0,09/02/23 23:28,
Gaziantep,Islahiye,Örtülü,58.8,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",Diğer,5324580079.0,,,,,,0.0,09/02/23 23:20,
Gaziantep,Islahiye,Yesemek,59.32,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,80.0,,0.0,09/02/23 23:01,İhtiyaç Yok.
Gaziantep,Islahiye,Yukarıbilenler,69.05,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)","Gıda (ekmek,su,paketli gıda)",5372992499.0,,,,,,0.0,09/02/23 22:35,
Gaziantep,Islahiye,Yolbaşı,69.29,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)","Gıda (ekmek,su,paketli gıda)",5322211934.0,,,,30.0,,0.0,09/02/23 22:25,"Çadır ihtiyacı var insanlar evine girmeye korkuyor, ilçe merkezi sıkıntılı"
Gaziantep,Nurdağı,Tandırlı,41.17,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",5380910694.0,30.0,45.0,90.0,30.0,,1.0,12/02/23 16:10,GUNCEL EKSIK:YOK
Gaziantep,Nurdağı,Gedikli,51.74,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",5333895579.0,120.0,200.0,100.0,10.0,,80.0,09/02/23 11:51,Hayvanların kontrolü yapılmadı. Elektrik yok. Kıyafetten battaniyeye kadar her şeye ihtiyaç var. Evlerin hemen hepsi yıkıldı. Henüz AFAD gelmedi
Gaziantep,Nurdağı,Bademli,59.07,"Barınma (Çadır, konteyner gibi)","Teknik yardım (Powerbank,el fen","Isınma (El sobası, battaniye)",5413792545.0,100.0,150.0,300.0,50.0,,100.0,15/02/23 19:40,"GÜNCEL EKSİK: kuru gıda ve çadır eksik.    //////     Yakınlarındaki hastane çökmüş durumdadır. edit: Yem (acil ihtiyaç ve bitmek üzere), Çadır ve Kömür"
Gaziantep,Nurdağı,İncirköy,59.45,"Barınma (Çadır, konteyner gibi)","Teknik yardım (Powerbank,el fen",Tıbbi yardım malzemeleri,5308720054.0,400.0,425.0,950.0,150.0,,30.0,09/02/23 05:02,bazı yardım kuruluşları bölgeye intikal etmiştir.
Gaziantep,Nurdağı,Belpınar,57.37,"Barınma (Çadır, konteyner gibi)","Teknik yardım (Powerbank,el fen","Kıyafet(Ayakkabı, çorap, iç çam",5437879879.0,100.0,120.0,240.0,110.0,,75.0,12/02/23 13:00,"GUNCEL EKSIK: Çadır, battaniye, kuru gıda////Araç var yakıt yok. Çadır desteği gerek mevcut çadır sayısı 10. edit: Çadır, Battaniye, Yem, Kuru Bakliyat"
Gaziantep,Nurdağı,Balıkalan,51.62,"Barınma (Çadır, konteyner gibi)",Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)",5300425750.0,160.0,,130.0,10.0,,10.0,12/02/23 13:00,GUNCEL EKSIK: YOK ////Araç var yakıt yok. edit: Acil ihtiyaç yok
Gaziantep,Nurdağı,Ataköy,43.46,"Barınma (Çadır, konteyner gibi)","Teknik yardım (Powerbank,el fen","Gıda (ekmek,su,paketli gıda)",5396203736.0,3.0,,17.0,30.0,,0.0,12/02/23 13:00,"GUNCEL IHTIYAC: Çadır 10 tane//// Ulaşım var ama hasarlı. edit: Çadır, Kömür ve Odun desteği talep edildi."
Gaziantep,Islahiye,Başpınar,60.49,"Barınma (Çadır, konteyner gibi)",Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)",,120.0,240.0,490.0,90.0,,60.0,,Araba var yakıt yok. 15 adet çadır gitmiş. edit: Birkaç Çadıra ihtiyaç var. Başka eksikleri yok.
Gaziantep,Nurdağı,Sayburun,53.67,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",5426480757.0,100.0,175.0,200.0,50.0,,6.0,12/02/23 16:30,"GUNCEL EKSIK: Isınma, 50 çadır"
Gaziantep,Islahiye,Zincirli,62.66,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",5368522074.0,,,,,,12.0,08/02/23 23:33,"Köyün nüfusu 300, 50 hanelik bir köy."
Gaziantep,Nurdağı,Sakçagözü,42.15,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,5336849345.0,,,4600.0,,,200.0,15/02/23 18:30,"GÜNCEL EKSİK: kuru gıda   ////////  kuru gıda, ısınma, 7000lik nüfus çadır eksik ////150 kişi kurtarılmış."
Gaziantep,Islahiye,Yeşilova,55.3,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,,,,50.0,2.0,08/02/23 22:41,Tüm ihtiyaçlar gelmiş ama ÇADIR yok.
Gaziantep,Nurdağı,Hisar,43.14,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,5308720054.0,300.0,750.0,1000.0,200.0,,,12/02/23 16:50,"GUNCEL EKSİK: 70e yakın çadır ihtiyacı,kuru gıda////5 kişi kurtarıldı."
Gaziantep,Nurdağı,Tüllüce,46.25,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,5468903411.0,150.0,,,50.0,,5.0,12/02/23 16:15,GUNCEL EKSIK: YOK
Gaziantep,Nurdağı,Toplamalar,53.31,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,5444175050.0,200.0,,,125.0,,30.0,12/02/23 16:32,GUNCEL EKSIK: 30 ÇADIR
Gaziantep,Nurdağı,Naimler,45.6,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,5438938044.0,,,,,,0.0,08/02/23 22:00,Yıkılan bina yok hasarlı binalar var.
Gaziantep,Islahiye,Kırıkçalı,67.98,"Barınma (Çadır, konteyner gibi)","Teknik yardım (Powerbank,el fen",,5358885750.0,,,,,,,,köyün nüfusu 500 çoğuu yaşlı kişiler. evlerin tamamı yıkık. 20 kadar bebek var. Gıda talepleri yok. Gıdayı şimdilik itfaiyeden alıyorlarmış. ÇADIR ihtiyacı var. Diğer ihtiyaçları karşılanmış.
Gaziantep,Islahiye,Şahmaran,59.29,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",Tıbbi yardım malzemeleri,,,,250.0,,,,12/02/23 15:20,"GUNCEL EKSIK: kimse gelmedi Çadır////Üst giyim gelmiş ama çorap, çocuk ve kadınlar için iç çamaşır, bebekler için mama, genel gıda ve temizlik malzemesi ihtiyacı var."
Gaziantep,Nurdağı,İçerisu,48.81,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)","Gıda (ekmek,su,paketli gıda)",5437711098.0,50.0,350.0,700.0,40.0,,20.0,12/02/23 16:05,GUNCEL EKSIK: YOK
Gaziantep,Nurdağı,Emirler,45.67,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)","Gıda (ekmek,su,paketli gıda)",5324951126.0,25.0,60.0,100.0,30.0,,3.0,12/02/23 13:00,"GUNCEL EKSIK: 8 çadır,seyyar kablo,kömür gibi ısınma iht."
Gaziantep,Nurdağı,Durmuşlar,48.5,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",5304974171.0,350.0,500.0,1100.0,150.0,,0.0,12/02/23 13:00,GUNCEL EKSIK:50 ÇADIR
Gaziantep,Islahiye,Güllühöyük,61.82,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Teknik yardım (Powerbank,el fen",,,,,,,100.0,,
Gaziantep,Nurdağı,Kırkpınar,45.92,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",5384048078.0,,,340.0,,,1.0,,"afad gitmemiş, jandarma gitmiş. köyün kendi yolu yokmuş, başka yol kullanılıyor. nurdağı ziyaret yolu, tren yolu köprüsü ve yakınındaki diğer köy yolları ciddi hasarlı, acilen yol iyileştirmesi yapılması gerekiyor."
Gaziantep,Nurdağı,Kırışkal,50.7,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",5426480757.0,45.0,,190.0,52.0,,30.0,,acil yardım bekleniyor
Gaziantep,Islahiye,Ağabey,70.6,"Hijyen ve sağlık( Ped, bebek be",Tıbbi yardım malzemeleri,"Barınma (Çadır, konteyner gibi)",5358885750.0,50.0,200.0,,,,,12/02/23 15:13,GUNCEL EKSIK: YOK ////Islahiye İdilli köyü yolu kapalı. 50 büyük çadır gerekiyor. 50 bebek var. Keçilerden de telef var. Sayı belirtilmedi.
