İl	İlçe	Köy	Merkeze uzaklık (km)	Birincil Öncelik	İkincil	Üçüncül	Telefon	Çocuk	Kadın	Yetişkin	Yaşlı	Hane	Yıkılan	Bilgi Alınan Vakit	Ek
Malatya	Kale	Kıyıcak	30.48	Isınma (El sobası, battaniye)	Gıda (ekmek,su,paketli gıda)								0	14/02/23 14:18	Gıda (çay, şeker, un, kurubakliyat), yakacak (odun, kömür) ihtiyacı var, acil. Köy nüfusu 1000 iken gleen nüfusa 2000 olmuş. İlerleyen zamanda altyapı sıkıntısı olacağı tahmin ediliyor. Bir hanede 20-30 kişi barınma zorunda kalıyor. 
Malatya	Kale	Karahüseyin	51.37										0	14/02/23 14:15	Nüfus 130, gleen kişiler ile 150 olmuş. İhtiyaç olmadığını belirtilmiş. 
Malatya	Kale	Karahüseyin	51.37										0	14/02/23 14:15	Nüfus 130, gleen kişiler ile 150 olmuş. İhtiyaç olmadığını belirtilmiş. 
Malatya	Kale	İkizpınar	35.92	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)	Barınma (Çadır, konteyner gibi)							0	14/02/23 14:10	Köy nüfusu 250-300 civarıyken gelen göç 350-400 kişi. 3-4 aile bir hanede barınak zorunda kalıyor. 
Malatya	Kale	Gülenköy	44.36	Gıda (ekmek,su,paketli gıda)									0	14/02/23 14:08	20 hane başka yere göç etti. 
Malatya	Kale	Erdemli	33.17	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)								0	14/02/23 14:06	Gıda ve yakacak ihtiyacı var, acil olmadığı belirtildi. 
Malatya	Kale	Bent	35.02										0	14/02/23 14:04	Gelen ya da giden hane yok. İhtiyaç yok. 
Malatya	Kale	Akuşağı	46.37										0	14/02/23 14:03	İhtiyaç yok. Köye dışarıdan gelen hane ya da giden yok. 
Malatya	Yazıhan	Böğürtlen	37.50	Gıda (ekmek,su,paketli gıda)	Tıbbi yardım malzemeleri			50		200	50		5	14/02/23 12:01	Güzün köyde 25 hane kalıyor. Yazın kalabalık oluyor. İlaç ve kuru gıda ihtiyacı var. 
Kahramanmaraş	Onikişubat	Öşlü	26.96	Gıda (ekmek,su,paketli gıda)				40	300	300	60		1	14/02/23 11:34	Bir kaç güne gıda maddesine ihtiyaç var. 
Malatya	Akçadağ	Dutlu	50.21									25	4	14/02/23 09:10	GÜNCEL: ihtiyaç yok. ahırlar yıkılmış. hayvanlar yakın boş bir köye nakliye edilmiş. 
Malatya	Akçadağ	Aydınlar	21.14	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)					600			7	14/02/23 10:09	binaların hepsi hasarlı
