İl,İlçe,Köy,Merkeze uzaklık (km),Birincil Öncelik,İkincil,Üçüncül,Telefon,Çocuk,Kadın,Yetişkin,Yaşlı,Hane,Yıkılan,Bilgi Alınan Vakit,Ek
Kahramanmaraş,Afşin,Ağcaşar,47.66,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",Tıbbi yardım malzemeleri,05453106414,,,,,,3,13/02/23 18:44,Güncel nüfus 100 kişi
Kahramanmaraş,Andırın,Altınyayla,30.64,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,05458669373,,,,,,,16/02/23 00:07,"Güncel Nüfus: 340 aile 190 ev var
birkaç hasarlı bina
merkezde depremden etkilenen insanlar yakınlarının yanına köye gelmiş"
Kahramanmaraş,Andırın,Altınboğa,45.58,,,,,,,,,,,16/02/23 00:05,Güncel Nüfus: 600
Kahramanmaraş,Andırın,Alanlı,42.52,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,,16/02/23 00:01,"Günel Nüfus: 650
Çadır İhtiyacı: 40 
200 kişilik gıda 
20den fazla ağır hasarlı binalar var"
Kahramanmaraş,Andırın,Akifiye,43.74,"Gıda (ekmek,su,paketli gıda)",,,05335450148,,,,,150,,15/02/23 23:57,"Çadır ihtiyacı: 2
Gıda ihtiyacı için sayı yok en az 300 kişi varmış
Hasarlı birkaç bina varmış
ihtiyaçlar yerli halkın yanına gelen depremzedeler için çoğu eve 4-5 kişi gelmiş "
Kahramanmaraş,Andırın,Akgümüş,26.20,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,05303025080,,,,,,,15/02/23 23:47,"Güncel Nüfus: 270
Çadır ihtiyacı: 5"
Kahramanmaraş,Andırın,Akçakoyunlu,60.53,,,,,,,,,,,15/02/23 23:44,"Güncel nüfus: 1100
Çadır ihtiyacı: 50
çok hasar yok korkudan insanlar dışarıda kalıyor çadır talep ediliyor "
Adıyaman,Gerger,"Adiyaman,Gerger Çami̇çi̇",62.27,,,,,,,100,,,2,14/02/23 23:09,
Adıyaman,Gerger,"Adiyaman,Gerger Aşağidağlica",65.84,,,,,2,,30,50,,0,14/02/23 23:07,
Adıyaman,Gerger,"Adiyaman, Gerger Ağaçli",57.98,,,,05388501967,60,,,350,,0,14/02/23 23:05,
Adıyaman,Gerger,"Adiyaman,Gerger Budakli",65.68,,,,,50,,80,50,,0,14/02/23 23:02,
Adıyaman,Gerger,"Adiyaman,Gerger Beybostan",65.17,,,,,,,230,,,36,14/02/23 14:56,
Adıyaman,Gerger,"Adiyaman,Gerger  Burçakli",62.24,,,,,4,30,0,,80,0,14/02/23 10:47,
Kahramanmaraş,Nurhak,"Kahramanmaraş Nurhak, Karaçar",58.34,"Isınma (El sobası, battaniye)","Barınma (Çadır, konteyner gibi)",,,,,,,,320,15/02/23 22:13,"güncel nüfus 400. su ihtiyacı var. odun, yakacak vekonteynır ihtiyacı var. ilaç temin edildi, hastalar sevk edildi."
Kahramanmaraş,Nurhak,Hüyük,57.89,,,,,,,,,,180,15/02/23 22:11,güncel nüfus 225. hayvan barınağına ihtiyaç var
Kahramanmaraş,Nurhak,Barış,49.10,,,,05424751082,,,,,,15,15/02/23 22:10,güncel nüfus 375.  220 hayvan telef olmuş.
Kahramanmaraş,Nurhak,"Kahramanmaraş Nurhak, Değirmenkaya",45.70,"Gıda (ekmek,su,paketli gıda)",,,05428249941,,,,,,49,15/02/23 22:07,güncel nüfus 400.
Kahramanmaraş,Nurhak,Yenimahalle,1.80,"Gıda (ekmek,su,paketli gıda)",Tıbbi yardım malzemeleri,,,,,,,,30,15/02/23 22:04,"1366 güncel nüfus. 50 çadır ihtiyacı var. seyyar tuvalet, çocuk için ateş düşürücü, kuru gıda, yağ, çay ihtiyacı var."
Kahramanmaraş,Nurhak,"Kahramanmaraş Nurhak, Tatlar",67.13,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Hijyen ve sağlık( Ped, bebek be",,,,,,,200,15/02/23 21:57,"güncel nüfus 3500.HAYVAN YEMİ, BAKLİYAT, KURU GIDA, YAĞ VS ihtiyacı var. hayvan çadırına ihtiyaç var. mezra yolunda kar var, ulaşımda sorun yaratıyor. "
Malatya,Battalgazi,Yenice,15.75,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,,,,,,,0,15/02/23 21:56,"nüfus 600'den 1000'i geçmiş. 6 hasarlı bina. ihtiyaç kuru gıda, çadır ihtiyacı var. ekmek,su yardımı geldi. 2 kronik hasta var."
Malatya,Battalgazi,Yeniköy,16.95,,,,05305012784,,,,,,0,15/02/23 21:53,"nüfus 500'den 1500'e çıkmış. çatlak olan binalar var henüz hasar tespit ekibi gelmemiş. 2 engelli yaşlı kadın, merkezden göç eden depremzede yoğun. "
Malatya,Battalgazi,Yarımcahan,11.10,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,05356682883,,,,,,,15/02/23 21:47,"nüfus 650'den 3500 olmuş. hasar tespit bugün yapılıyor 20 civarı ağır hasarlı var. okul ağır hasarlı. ilk öğretim ve anaokulu kontenjan 35 öğrenci. 12 çadır ihtiyacı var. havalar soğuk olduğu için odun,kömür ihtiyacı var. kuru gıda yardımı gelmiş. 3 engelli iyiler. "
