İl,İlçe,Köy,Merkeze uzaklık (km),Birincil Öncelik,İkincil,Üçüncül,Telefon,Çocuk,Kadın,Yetişkin,Yaşlı,Hane,Yıkılan,Bilgi Alınan Vakit,Ek
Kilis,Merkez,Yavuzlu,14.74,,,,,,,,,,15,15/02/23 17:24,güncel nüfus 2000. kömür gerekli.
Kilis,Merkez,Uzunlu,7.06,,,,,,,,,,,15/02/23 17:31,güncel nüfus 450.  2 aile için çadır ihtiyacı olduğunu ama onları da kendisinin temin edeceğini söyledi
Kilis,Merkez,Tanburalı,3.53,"Isınma (El sobası, battaniye)","Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,15/02/23 17:08,"güncel nüfus 40. kömür, odun, temizlik malzemesi acil gerekli. kuru bakliyat, 4-12 yaş mont bere çizme gerekli. bebek bezi ve maması gerekli. çok küçük bebekler var onlara uygun mamalar "
Kilis,Merkez,Süngütepe,17.14,"Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam","Hijyen ve sağlık( Ped, bebek be",,,,,,,10,15/02/23 17:00,güncel nüfus 600. 10 çadır gerekli. 60 tane çocuklar için bere mont çizme vs gerekli. bebek bezi gerekli. 
Kilis,Merkez,Saatli,24.12,,,,05437499380,,,,,,1,15/02/23 16:57,güncel nüfus 100. kömür ihtiyaçları var sosyal hizmetlere talepte bulunmuşlar
Kilis,Merkez,Narlıca,5.37,,,,,,,,,,0,15/02/23 16:48,güncel nüfus 50.  kömür ihtiyaçları var sosyal hizmetlere talepte bulunmuşlar
Kilis,Merkez,Mağaracık,26.60,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,0,15/02/23 17:33,"güncel nüfus 200. 10 çadır gerekli. 60 kişi için kuru gıda ve her türlü kıyafet gerekli. kömür, odun, temizlik maddesi gerekli."
Kilis,Merkez,Küplüce,9.52,,,,,,,,,,0,15/02/23 16:22,"güncel nüfus 350.  acil 10 çadır gerekli. aileler evde kalıyor, geceleri dışarda kalmak için çadır ihtiyacı var "
Kilis,Merkez,Küçükkonak,8.77,,,,,,,,,,,15/02/23 16:19,güncel nüfus 500.  kömür ihtiyacı var
Kilis,Merkez,Kuzuini,5.98,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,0,15/02/23 16:13,"güncel nüfus 100. 10 çadır gerekli. 1-6 yaş arası ayakkabı ve mont, bebek bezi ve maması gerekli. 5 aile için kömür. 350 küçükbaş için  35 ton yem gerekli. "
