il	ilce	koy
ŞANLIURFA	VİRANŞEHİR	YÜCELER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YUKARIŞÖLENLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YUKARIDİLİMLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YUKARIBAĞ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YOLLARBAŞI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YOLBİLEN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YILDIZ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YEŞİLDURAK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YEŞİLALIÇ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YAZGÜNEŞİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YAYIK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YARPUZ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YAĞIZLAR KÖYÜ
ŞANLIURFA	VİRANŞEHİR	YABAN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ÜÇGÜL KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ULAKLI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	UĞURLU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TÜRKELİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TUNÇBİLEK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TOKLU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TEPEDÜZÜ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TEKNELİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TAŞYAKA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TAŞÖNÜ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	TANYELİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ŞAHİNLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SÜLEYMANİYE KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SÖZERİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SEPETLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SAYOBA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SATICIK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SARIBAL KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SAMANLI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	SAĞIRTAŞ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	PINARLAR KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ÖVÜNCÜK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	OĞLAKÇI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	NERGİZLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	MEHMETÇİK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	MALTA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KÜÇÜKTOPÇA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KÜÇÜKMUTLU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KÜÇÜKDİKME KÖYÜ
