Il,Ilce,Muhtarlik,Muhtar,Boylam,Enlem
Adiyaman,Tut,AKÇATEPE,Fevzi CEBE,38.0114,37.8115
Adiyaman,Tut,Ayniye,Osman GÖNÜL,,
Adiyaman,Tut,BOYUNDERE,Mahmut SEÇKİN,37.9388,37.7695
Adiyaman,Tut,Bulanık,Ali İNCE,,
Adiyaman,Tut,Çamlıca,Elif ŞEN,,
Adiyaman,Tut,ÇİFTLİKKÖY,Orhan ÖZEN,37.8782,37.7664
Adiyaman,Tut,Cumhuriyet,Fikir DÖNMEZ,,
Adiyaman,Tut,ELÇİLER,Ali ELÇİ,38.0518,37.7851
Adiyaman,Tut,Fethiye,Mahmut GÜÇTEKİN,,
Adiyaman,Tut,HAVUTLU,Cuma YÜCEL,37.9122,37.7676
Adiyaman,Tut,KAŞLICA,Memet GÜRBÜZ,37.9513,37.8131
Adiyaman,Tut,KÖSELİ,Ali AYDIN,38.0419,37.7796
Adiyaman,Tut,MERYEMUŞAĞI,Ekrem ATALAY,37.858,37.8115
Adiyaman,Tut,ÖĞÜTLÜ,Arif GÜRBÜZ,38.0086,37.7749
Adiyaman,Tut,Reşadiye,Bayram ERTUĞRUL,,
Adiyaman,Tut,Salah,Habib DOĞAN,,
Adiyaman,Tut,TEPECİK,Vakas SARI,38.0331,37.8008
Adiyaman,Tut,ÜNLÜCE,Mahmut ÜNAL,,
Adiyaman,Tut,YALANKOZ,Hacı BEKTAŞ,38.0203,37.813
Adiyaman,Tut,YAYLIMLI,Safiye YÜKSEL,37.971,37.7723
Adiyaman,Tut,YEŞİLYURT,Ahmet DOĞAN,,
Diyarbakir,Yenişehir,Al,Mehmet Selim TUNCAY,,
Diyarbakir,Yenişehir,Alangör,Ali YILMAZ,,
Diyarbakir,Yenişehir,Alpu,Ali YILMAZ,40.134277,38.048177
Diyarbakir,Yenişehir,Aziziye,Fahri PINAR,40.2019,37.9487
Diyarbakir,Yenişehir,Bahçelievler,Mehmet KARABOĞA,40.185975,38.02023
Diyarbakir,Yenişehir,Başil,İbrahim YAVUZ,40.187199,38.06326
Diyarbakir,Yenişehir,Bozek,Yusuf DALKILIÇ,,
Diyarbakir,Yenişehir,Çakmak,Askeri DEMİR,,
Diyarbakir,Yenişehir,Çelikevler,Mehmet KAYA,,
Diyarbakir,Yenişehir,Çimenler,Hasan ÇİMEN,,
Diyarbakir,Yenişehir,Cumhuriyet,Kasım SEYİTOĞLU,40.2138,37.9373
Diyarbakir,Yenişehir,Dicle,Vahit KELEKÇİER,40.2426,37.9207
Diyarbakir,Yenişehir,Dikentepe,Ahmet KARAHAN,,
Diyarbakir,Yenişehir,Dökmetaş,Mustafa AKTAŞ,40.140078,38.018258
Diyarbakir,Yenişehir,Dokuzçeltik,İsmail KOYUN,40.181038,37.975385
Diyarbakir,Yenişehir,Dönümlü,Abdullah KAYMAK,40.221313,37.954866
Diyarbakir,Yenişehir,Ekinciler,Burhan İPEK,,
Diyarbakir,Yenişehir,Elidolu,Abdullah UYKUR,40.219901,37.968346
Diyarbakir,Yenişehir,Eser,Galip ESER,40.248494,38.047298
Diyarbakir,Yenişehir,Fabrika,Mehmet Ercan ERİNGİN,40.179,37.9659
Diyarbakir,Yenişehir,Feritköşkü,Mehmet Ali ŞENTÜRK,40.2378,37.9263
Diyarbakir,Yenişehir,Geyiktepe,Eşref ULU,,
Diyarbakir,Yenişehir,Gürdoğan,Remezan AKÇİÇEK,40.2216,37.9458
Diyarbakir,Yenişehir,Güvendere,Hamza KAYA,40.164716,38.019646
Diyarbakir,Yenişehir,Güvercinlik,Mahmut ADIGÜZEL,40.228287,38.005059
Diyarbakir,Yenişehir,Güzelköy,Halit ŞEKER,40.226193,38.02428
Diyarbakir,Yenişehir,Hantepe,Mehmet Emin BOZBOĞA,,
Diyarbakir,Yenişehir,İlbaş,Mehmet Sıddık KAYMAK,40.224045,38.08954
Diyarbakir,Yenişehir,Kesikağaç,Mehmet Şah BAL,40.222075,37.993839
Diyarbakir,Yenişehir,Kooperatifler,Abdulkadır AYDINLAR,40.217,37.9259
Diyarbakir,Yenişehir,Sanayi,Ahmet CEYLAN,40.1959,37.947
Diyarbakir,Yenişehir,Sancar,Mehmet Emin ATLI,40.153734,38.051696
Diyarbakir,Yenişehir,Sarıyatak,Mehmet Ali ATAŞ,,
Diyarbakir,Yenişehir,Şehitlik,Fahrettin GÜLER,40.2248,37.8982
